@relation amazonReview
@attribute "Unrestricted Type-Token ratio" numeric
@attribute "Guiraud's R" numeric
@attribute "Herdan's C" numeric
@attribute "Dugast's k" numeric
@attribute "Tuldava's LN" numeric
@attribute "Yule's K" numeric
@attribute "Honore's H" numeric
@attribute "Yule's K" numeric
@attribute "Entropy" numeric
@attribute class {Agresti, Ashbacher, Auken, Beauchamp, Blankenship, Brody, Brown, Bukowsky, CFH, Calvinnme, Chachra, Chandler, Chell, Cholette, Comdet, Corn, Cruiser, Cutey, Daneman, Davisson, Dent, Duff, Engineer, Goonan, Grove, Harp, Hayes, Janson, Johnson, Koenig}
@data
.041,1.237,.531,1.884,-.147,608.644,679.571,.189,24.484,Comdet
.029,1.055,.507,1.847,-.139,649.580,716.781,.053,18.697,Comdet
.038,1.247,.532,1.910,-.143,598.608,698.564,.073,23.187,Comdet
.037,1.154,.521,1.858,-.145,631.480,688.141,.083,21.970,Comdet
.025,.872,.481,1.747,-.140,613.358,714.125,.000,16.414,Comdet
.031,1.064,.509,1.843,-.141,659.289,709.755,.027,19.356,Comdet
.031,1.054,.507,1.833,-.142,648.822,706.133,.056,19.552,Comdet
.028,1.010,.501,1.829,-.139,669.712,720.117,.108,17.827,Comdet
.026,.943,.492,1.790,-.139,609.959,717.012,.059,17.262,Comdet
.029,1.015,.502,1.816,-.141,632.695,708.003,.029,18.658,Comdet
.030,1.069,.509,1.850,-.140,624.931,714.204,.079,18.605,Comdet
.029,1.056,.508,1.847,-.139,639.734,716.627,.105,18.674,Comdet
.040,1.229,.530,1.889,-.146,608.500,686.276,.105,23.461,Comdet
.036,1.151,.520,1.864,-.144,633.219,694.119,.054,21.080,Comdet
.026,.925,.489,1.778,-.140,632.621,714.835,.091,17.097,Comdet
.025,.952,.493,1.807,-.138,626.261,726.473,.139,16.653,Comdet
.030,1.069,.509,1.850,-.140,615.640,714.125,.026,18.874,Comdet
.030,1.015,.502,1.809,-.142,642.101,702.198,.059,18.917,Comdet
.024,.907,.487,1.780,-.138,636.491,724.779,.088,15.826,Comdet
.031,1.019,.503,1.803,-.144,647.082,695.559,.121,19.897,Comdet
.026,.921,.488,1.769,-.141,615.947,709.672,.031,17.087,Comdet
.031,1.131,.517,1.884,-.139,631.584,718.083,.049,19.580,Comdet
.032,1.187,.524,1.914,-.138,587.766,722.548,.114,20.702,Comdet
.035,1.091,.513,1.829,-.145,644.475,687.936,.088,21.672,Comdet
.026,.964,.495,1.810,-.138,649.127,724.137,.056,17.323,Comdet
.034,1.099,.513,1.844,-.143,604.061,697.915,.028,20.830,Comdet
.028,.965,.495,1.788,-.141,665.956,706.390,.152,18.055,Comdet
.028,.968,.495,1.797,-.140,633.293,711.802,.176,17.552,Comdet
.033,1.110,.515,1.854,-.142,647.619,701.302,.054,20.853,Comdet
.037,1.140,.519,1.848,-.146,609.389,684.801,.086,23.218,Comdet
.037,1.171,.523,1.869,-.145,585.941,690.675,.054,23.067,Comdet
.031,1.020,.503,1.810,-.142,631.170,701.392,.029,18.945,Comdet
.029,1.071,.510,1.857,-.139,602.834,718.917,.077,19.218,Comdet
.037,1.150,.520,1.857,-.145,557.570,688.755,.083,23.218,Comdet
.030,1.065,.509,1.849,-.140,620.049,714.835,.105,18.547,Comdet
.027,1.017,.502,1.837,-.138,605.886,724.065,.026,18.111,Comdet
.037,1.160,.522,1.859,-.145,632.963,687.005,.028,22.772,Comdet
.030,.935,.490,1.747,-.145,613.813,686.901,.103,19.164,Comdet
.030,1.043,.506,1.830,-.141,628.512,708.339,.056,19.054,Comdet
.030,1.112,.515,1.879,-.139,565.338,721.524,.146,19.717,Comdet
.028,1.052,.507,1.853,-.138,624.951,722.548,.077,18.293,Comdet
.073,1.500,.567,1.907,-.165,602.811,605.678,.032,37.740,Corn
.040,1.098,.514,1.800,-.151,620.689,661.607,.033,24.501,Corn
.037,1.280,.535,1.934,-.141,619.970,707.412,.205,22.697,Corn
.034,1.079,.511,1.826,-.145,654.034,690.073,.088,20.953,Corn
.035,1.079,.511,1.818,-.146,656.332,684.162,.061,21.938,Corn
.026,.942,.492,1.790,-.139,613.609,717.319,.059,17.430,Corn
.048,1.291,.539,1.884,-.151,616.613,659.987,.057,27.701,Corn
.030,1.050,.507,1.839,-.140,602.390,712.367,.054,18.947,Corn
.026,.937,.491,1.789,-.139,640.290,718.235,.029,16.870,Corn
.036,1.177,.523,1.876,-.144,606.141,694.986,.079,22.029,Corn
.042,1.199,.527,1.855,-.149,597.587,668.960,.059,25.702,Corn
.034,1.159,.521,1.878,-.142,585.181,703.262,.128,20.979,Corn
.032,1.010,.501,1.793,-.145,637.917,691.075,.031,20.287,Corn
.040,1.172,.524,1.849,-.148,621.484,673.578,.059,24.123,Corn
.067,1.340,.549,1.838,-.166,584.520,600.635,.000,36.287,Corn
.042,1.087,.513,1.781,-.154,623.588,649.677,.000,25.830,Corn
.039,1.146,.520,1.842,-.147,637.435,677.992,.118,23.408,Corn
.033,1.074,.510,1.831,-.143,598.230,696.791,.000,19.483,Corn
.030,1.117,.515,1.880,-.139,621.830,720.638,.146,19.372,Corn
.044,1.297,.538,1.904,-.148,595.042,675.577,.079,26.000,Corn
.062,1.451,.559,1.915,-.158,634.669,630.810,.235,33.530,Corn
.035,1.204,.526,1.901,-.142,606.091,705.531,.073,21.191,Corn
.045,1.101,.515,1.776,-.156,715.806,639.859,.037,25.575,Corn
.028,1.002,.500,1.820,-.139,645.344,716.395,.056,17.776,Corn
.034,1.156,.521,1.878,-.142,597.223,703.703,.154,20.571,Corn
.027,.982,.497,1.815,-.139,613.131,720.415,.056,17.594,Corn
.026,.946,.492,1.791,-.139,623.502,716.395,.118,17.010,Corn
.033,1.164,.521,1.891,-.140,605.873,712.287,.098,20.183,Corn
.038,1.237,.531,1.902,-.144,633.946,695.273,.100,23.105,Corn
.043,1.211,.529,1.858,-.150,571.855,666.950,.088,25.260,Corn
.049,1.346,.545,1.909,-.151,568.451,662.804,.081,28.376,Corn
.037,1.120,.517,1.836,-.146,620.849,682.546,.059,22.566,Corn
.051,1.332,.544,1.894,-.153,565.112,653.669,.057,28.959,Corn
.036,1.101,.514,1.831,-.146,605.187,686.066,.176,21.733,Corn
.027,.923,.489,1.761,-.142,641.851,702.909,.065,18.018,Corn
.055,1.309,.543,1.861,-.158,590.015,632.972,.032,30.838,Corn
.031,.993,.499,1.788,-.144,612.849,694.505,.156,19.833,Corn
.042,1.173,.524,1.842,-.150,598.212,667.330,.091,25.353,Corn
.045,1.252,.534,1.875,-.150,641.271,666.058,.114,25.801,Corn
.045,1.395,.549,1.954,-.146,607.191,685.646,.163,26.544,Corn
.030,1.044,.506,1.831,-.141,615.048,708.171,.083,18.861,Corn
.039,1.263,.534,1.914,-.144,567.302,695.940,.122,23.934,Corn
.026,.934,.490,1.780,-.140,623.737,713.010,.061,17.185,Corn
.063,1.423,.557,1.895,-.160,624.873,622.654,.125,34.809,Corn
.035,1.210,.527,1.908,-.141,621.068,709.340,.095,21.988,Corn
.035,1.130,.518,1.852,-.144,608.595,692.264,.083,21.993,Corn
.027,.977,.497,1.807,-.140,639.935,715.696,.143,17.475,Corn
.036,1.172,.523,1.875,-.144,618.115,695.750,.105,21.856,Corn
.029,.978,.497,1.792,-.142,614.428,703.791,.030,18.534,Corn
.030,1.017,.502,1.817,-.141,637.184,707.750,.114,18.575,Corn
.029,1.059,.508,1.854,-.139,612.862,721.156,.077,18.323,Cruiser
.030,.965,.495,1.773,-.144,637.361,693.828,.032,19.248,Cruiser
.023,.901,.486,1.793,-.135,634.862,737.526,.083,14.913,Cruiser
.028,.919,.488,1.752,-.143,622.683,697.167,.000,17.301,Cruiser
.027,1.040,.505,1.856,-.137,585.525,729.845,.100,17.680,Cruiser
.027,.964,.495,1.796,-.140,643.973,712.528,.029,17.829,Cruiser
.032,1.077,.511,1.839,-.142,605.485,701.930,.056,20.641,Cruiser
.024,.876,.482,1.756,-.139,643.146,719.669,.031,15.802,Cruiser
.026,.919,.488,1.776,-.139,605.847,716.240,.000,17.189,Cruiser
.038,1.167,.522,1.861,-.146,578.823,685.857,.111,23.351,Cruiser
.042,1.145,.521,1.820,-.151,665.508,659.715,.032,25.146,Cruiser
.035,1.114,.516,1.841,-.145,604.916,689.467,.114,22.153,Cruiser
.034,1.124,.517,1.857,-.143,611.826,698.841,.135,21.395,Cruiser
.039,1.147,.520,1.843,-.147,648.827,677.765,.059,22.611,Cruiser
.028,1.044,.506,1.850,-.138,600.678,724.137,.103,18.140,Cruiser
.033,1.051,.507,1.811,-.145,668.908,689.366,.030,20.861,Cruiser
.027,1.043,.506,1.863,-.136,609.291,734.213,.146,17.476,Cruiser
.031,1.003,.500,1.791,-.144,619.082,692.560,.125,19.813,Cruiser
.026,1.002,.500,1.840,-.136,655.130,732.317,.154,16.668,Cruiser
.029,.996,.499,1.804,-.141,625.197,706.133,.029,18.774,Cruiser
.029,1.104,.514,1.883,-.137,660.266,727.725,.048,18.609,Cruiser
.059,1.326,.545,1.858,-.160,606.041,623.832,.033,32.577,Cruiser
.028,1.028,.504,1.840,-.138,690.386,721.964,.053,17.690,Cruiser
.039,1.180,.524,1.864,-.146,606.430,683.626,.083,24.191,Cruiser
.047,1.089,.514,1.754,-.159,720.739,626.720,.040,26.963,Cruiser
.032,1.140,.518,1.880,-.140,577.638,711.558,.025,20.854,Cruiser
.026,.962,.495,1.810,-.138,639.199,724.423,.167,16.909,Cruiser
.054,1.253,.536,1.832,-.159,626.914,628.413,.000,30.711,Cruiser
.021,.815,.472,1.738,-.136,637.970,734.148,.062,13.963,Cruiser
.023,.915,.488,1.797,-.136,633.980,734.472,.056,15.279,Cruiser
.042,1.227,.530,1.875,-.148,631.454,675.809,.000,24.637,Cruiser
.089,1.551,.577,1.891,-.175,674.770,571.373,.037,43.628,Cruiser
.033,1.010,.501,1.785,-.146,647.254,684.801,.032,20.723,Cruiser
.031,1.000,.500,1.790,-.144,611.893,693.245,.062,20.053,Cruiser
.045,1.137,.520,1.802,-.154,627.432,647.697,.103,25.901,Cruiser
.028,.998,.500,1.812,-.140,643.787,711.558,.086,18.597,Cruiser
.037,1.126,.517,1.837,-.147,589.112,681.564,.029,22.658,Cruiser
.046,1.199,.528,1.834,-.154,624.148,650.429,.065,27.343,Cruiser
.034,.992,.499,1.763,-.148,625.970,674.993,.000,20.995,Cruiser
.025,.973,.496,1.826,-.136,612.691,732.975,.079,16.556,Cruiser
.045,1.313,.540,1.908,-.148,570.101,673.102,.158,25.913,Cruiser
.030,1.014,.502,1.809,-.142,629.480,702.465,.029,19.421,Cruiser
.049,1.378,.548,1.928,-.149,565.507,668.586,.077,28.991,Cruiser
.039,1.238,.531,1.897,-.145,594.768,689.972,.103,23.747,Cruiser
.046,1.232,.532,1.857,-.152,581.086,657.508,.061,26.869,Cruiser
.024,.910,.487,1.781,-.138,631.505,724.208,.088,16.177,Cruiser
.083,1.579,.578,1.918,-.170,602.129,588.888,.100,43.177,Cruiser
.042,1.175,.524,1.842,-.150,624.381,667.077,.091,25.099,Cruiser
.034,1.003,.500,1.775,-.147,633.442,679.571,.100,21.055,Cruiser
.030,.990,.499,1.795,-.142,647.147,701.212,.030,18.896,Cruiser
.047,1.315,.541,1.902,-.150,593.131,667.456,.135,27.257,Cutey
.036,1.107,.515,1.833,-.146,576.848,685.013,.059,22.220,Cutey
.042,1.208,.528,1.864,-.148,626.063,673.340,.029,24.570,Cutey
.035,1.069,.510,1.816,-.146,637.199,685.961,.091,21.268,Cutey
.027,.923,.489,1.761,-.142,605.910,702.820,.097,17.862,Cutey
.069,1.620,.576,1.975,-.158,554.347,630.992,.158,37.878,Cutey
.043,1.169,.524,1.834,-.151,635.525,661.874,.062,25.913,Cutey
.057,1.426,.555,1.921,-.155,625.504,645.677,.111,31.395,Cutey
.040,1.184,.525,1.859,-.148,612.757,677.308,.086,24.385,Cutey
.065,1.639,.577,1.994,-.155,602.461,643.935,.146,35.147,Cutey
.048,1.290,.539,1.884,-.151,610.287,660.123,.029,27.443,Cutey
.073,1.529,.570,1.920,-.164,596.161,608.222,.031,39.011,Cutey
.053,1.378,.549,1.910,-.153,604.709,652.649,.139,30.247,Cutey
.036,1.074,.510,1.810,-.147,616.947,678.897,.062,22.646,Cutey
.061,1.497,.563,1.943,-.156,558.474,641.510,.189,33.174,Cutey
.049,1.173,.525,1.803,-.157,620.776,634.564,.000,27.430,Cutey
.038,1.074,.511,1.794,-.150,634.106,665.929,.033,23.625,Cutey
.057,1.280,.540,1.839,-.160,590.457,624.028,.069,32.337,Cutey
.042,1.225,.530,1.875,-.148,609.796,676.157,.000,24.017,Cutey
.042,1.155,.522,1.830,-.150,661.087,664.249,.062,25.084,Cutey
.039,1.128,.518,1.831,-.148,610.274,675.227,.030,22.618,Cutey
.041,1.165,.523,1.840,-.149,588.066,668.835,.061,24.788,Cutey
.035,1.103,.514,1.839,-.145,624.990,691.473,.143,21.283,Cutey
.038,1.079,.511,1.803,-.149,617.214,671.659,.032,22.757,Cutey
.056,1.275,.539,1.838,-.160,643.461,624.804,.034,31.056,Cutey
.033,1.254,.531,1.949,-.137,530.110,729.029,.042,21.753,Cutey
.033,1.065,.509,1.822,-.144,594.569,692.756,.088,20.984,Cutey
.031,.954,.493,1.753,-.146,609.017,682.979,.000,19.868,Cutey
.045,1.243,.533,1.866,-.151,621.032,661.740,.059,26.320,Cutey
.046,1.120,.518,1.781,-.157,688.616,636.475,.037,27.767,Cutey
.062,1.541,.567,1.958,-.156,610.203,641.017,.105,33.435,Cutey
.028,.946,.492,1.775,-.142,624.145,704.316,.031,17.882,Cutey
.043,1.095,.514,1.783,-.154,630.208,648.311,.071,25.413,Cutey
.055,1.308,.542,1.861,-.158,630.913,633.150,.065,30.652,Cutey
.036,1.027,.504,1.773,-.149,617.568,668.211,.069,22.686,Cutey
.036,1.069,.510,1.808,-.147,626.457,679.794,.125,22.127,Cutey
.042,1.163,.523,1.832,-.151,615.183,662.936,.156,25.100,Cutey
.055,1.446,.556,1.937,-.153,587.102,653.814,.079,32.049,Cutey
.051,1.242,.534,1.837,-.157,637.179,636.819,.067,29.209,Cutey
.036,1.093,.513,1.822,-.147,631.711,681.454,.061,22.358,Cutey
.038,1.137,.519,1.840,-.147,629.739,679.571,.088,23.204,Cutey
.031,1.030,.504,1.813,-.143,614.805,699.302,.176,19.510,Cutey
.035,1.045,.506,1.794,-.147,611.764,677.992,.065,22.326,Cutey
.033,.991,.499,1.771,-.146,629.251,682.111,.100,20.191,Cutey
.031,1.035,.505,1.822,-.142,615.248,704.141,.143,19.711,Cutey
.032,.991,.499,1.780,-.145,632.954,688.551,.129,20.129,Cutey
.030,.951,.493,1.760,-.145,634.818,690.375,.067,19.405,Cutey
.050,1.377,.548,1.922,-.151,594.151,663.595,.079,29.023,Cutey
.038,1.052,.508,1.780,-.151,663.487,663.332,.069,23.458,Cutey
.043,1.196,.527,1.848,-.151,633.874,663.463,.061,25.562,Cutey
.027,1.031,.504,1.847,-.138,622.539,726.543,.103,17.895,Daneman
.027,.908,.486,1.757,-.141,658.174,706.048,.065,17.259,Daneman
.026,.972,.496,1.819,-.137,640.124,727.794,.054,16.832,Daneman
.027,.933,.490,1.772,-.141,650.495,707.072,.062,17.681,Daneman
.036,1.123,.517,1.844,-.145,632.282,687.936,.114,22.265,Daneman
.025,.932,.490,1.795,-.138,639.862,725.134,.057,16.207,Daneman
.034,1.165,.522,1.886,-.141,610.218,707.157,.050,21.667,Daneman
.023,.896,.485,1.785,-.136,616.776,732.975,.086,15.598,Daneman
.036,1.099,.514,1.831,-.146,612.011,686.380,.118,22.248,Daneman
.033,1.044,.506,1.809,-.145,608.246,690.675,.061,21.239,Daneman
.042,1.258,.534,1.895,-.147,624.050,681.564,.132,24.819,Daneman
.037,1.048,.507,1.787,-.149,622.681,670.808,.000,22.399,Daneman
.037,1.202,.526,1.888,-.144,591.310,695.940,.077,23.113,Daneman
.031,.959,.494,1.763,-.145,585.885,688.551,.067,19.992,Daneman
.032,1.177,.523,1.906,-.139,606.944,719.594,.140,20.519,Daneman
.024,.922,.489,1.799,-.136,610.577,732.844,.111,16.022,Daneman
.027,.964,.495,1.803,-.139,628.954,718.463,.000,17.237,Daneman
.024,.910,.487,1.789,-.137,613.799,729.912,.000,15.161,Daneman
.025,1.019,.503,1.857,-.135,617.134,738.895,.171,16.740,Daneman
.030,1.116,.515,1.880,-.139,644.527,720.786,.146,19.443,Daneman
.036,1.063,.509,1.799,-.148,624.951,674.641,.065,22.805,Daneman
.030,.963,.495,1.772,-.144,651.488,694.409,.000,19.046,Daneman
.038,1.158,.522,1.852,-.147,589.549,681.674,.086,23.601,Daneman
.044,1.276,.536,1.893,-.148,625.310,673.459,.108,26.099,Daneman
.036,1.164,.522,1.873,-.143,603.134,697.073,.079,22.606,Daneman
.029,1.028,.504,1.834,-.139,622.716,716.627,.081,18.401,Daneman
.037,1.094,.513,1.815,-.148,593.570,675.227,.000,22.874,Daneman
.048,1.392,.549,1.937,-.149,616.012,671.659,.175,28.020,Daneman
.030,1.023,.503,1.818,-.141,630.426,706.476,.057,18.900,Daneman
.031,1.046,.506,1.824,-.142,602.055,702.019,.000,19.618,Daneman
.035,1.149,.520,1.870,-.143,611.437,699.760,.053,21.177,Daneman
.031,1.066,.509,1.843,-.141,617.081,709.340,.081,19.598,Daneman
.036,1.192,.525,1.892,-.142,597.811,702.643,.050,21.951,Daneman
.039,1.208,.528,1.877,-.146,637.215,684.375,.027,23.808,Daneman
.039,1.177,.524,1.864,-.146,605.988,684.055,.167,23.158,Daneman
.030,1.003,.500,1.806,-.142,616.395,704.578,.059,18.563,Daneman
.034,1.189,.524,1.903,-.140,611.977,712.850,.143,20.594,Daneman
.039,1.118,.517,1.821,-.149,626.945,670.808,.094,24.014,Daneman
.037,1.155,.521,1.858,-.145,604.530,687.936,.083,22.067,Daneman
.045,1.352,.544,1.934,-.146,577.942,682.437,.171,26.147,Daneman
.030,1.101,.513,1.877,-.138,594.082,723.418,.073,19.057,Daneman
.030,1.083,.511,1.860,-.139,612.831,716.781,.077,18.756,Daneman
.039,1.189,.525,1.867,-.147,636.179,682.002,.111,23.307,Daneman
.029,1.015,.502,1.823,-.140,593.499,713.728,.111,18.625,Daneman
.025,.871,.481,1.738,-.141,622.588,707.834,.133,16.513,Daneman
.030,1.004,.501,1.806,-.142,605.400,704.491,.029,19.423,Daneman
.039,1.243,.531,1.904,-.144,620.122,694.216,.050,23.771,Daneman
.041,1.279,.536,1.912,-.145,622.018,688.551,.025,23.906,Daneman
.034,1.158,.521,1.878,-.142,603.699,703.351,.077,21.344,Daneman
.028,.912,.487,1.750,-.143,616.533,698.657,.000,17.957,Daneman
.032,1.095,.513,1.850,-.142,617.353,704.054,.054,19.918,Davisson
.025,.953,.493,1.814,-.137,629.220,731.788,.027,16.026,Davisson
.033,1.059,.508,1.820,-.144,628.160,693.828,.118,20.435,Davisson
.029,1.064,.509,1.855,-.139,615.447,720.266,.077,19.476,Davisson
.027,1.059,.508,1.866,-.137,597.272,731.255,.098,18.421,Davisson
.032,1.167,.522,1.898,-.139,630.567,716.704,.143,20.667,Davisson
.037,1.142,.519,1.848,-.146,618.416,684.482,.114,23.400,Davisson
.028,1.049,.507,1.858,-.137,603.888,728.207,.025,17.952,Davisson
.028,1.040,.505,1.849,-.138,615.983,724.922,.077,18.101,Davisson
.026,.972,.496,1.819,-.137,609.070,727.932,.000,16.507,Davisson
.025,.915,.488,1.783,-.138,600.509,722.984,.147,16.032,Davisson
.029,1.050,.507,1.846,-.139,612.558,717.778,.053,18.897,Davisson
.038,1.195,.526,1.881,-.144,575.983,691.968,.105,22.833,Davisson
.029,1.057,.508,1.854,-.138,608.323,721.598,.103,18.945,Davisson
.031,1.122,.516,1.876,-.140,614.823,714.756,.050,20.017,Davisson
.038,1.232,.530,1.901,-.144,596.778,696.035,.100,23.048,Davisson
.037,1.202,.526,1.888,-.144,597.389,695.940,.026,22.613,Davisson
.042,1.309,.539,1.924,-.145,601.302,688.857,.049,25.808,Davisson
.031,1.177,.522,1.917,-.137,580.006,728.756,.089,20.006,Davisson
.032,1.173,.522,1.905,-.139,618.308,720.266,.140,20.362,Davisson
.029,1.107,.514,1.884,-.137,589.655,727.170,.095,19.297,Davisson
.033,1.106,.514,1.853,-.142,599.131,702.108,.135,20.936,Davisson
.026,.961,.495,1.809,-.138,575.798,724.566,.000,17.025,Davisson
.037,1.133,.518,1.846,-.146,576.377,686.171,.143,22.516,Davisson
.027,1.012,.502,1.836,-.138,613.490,725.205,.053,17.211,Davisson
.034,1.101,.514,1.845,-.143,580.393,697.448,.000,21.651,Davisson
.031,1.045,.506,1.824,-.142,609.103,702.287,.029,19.820,Davisson
.041,1.266,.534,1.903,-.146,636.564,685.541,.051,24.392,Davisson
.033,1.106,.514,1.853,-.142,599.131,702.108,.135,20.936,Davisson
.031,1.147,.519,1.893,-.139,615.766,720.042,.071,19.858,Davisson
.030,1.077,.510,1.852,-.140,597.746,712.769,.026,19.260,Davisson
.034,1.185,.524,1.896,-.141,603.238,708.841,.073,21.641,Davisson
.029,1.093,.512,1.875,-.138,597.807,724.993,.024,18.830,Davisson
.042,1.244,.532,1.886,-.147,573.641,678.559,.135,25.440,Davisson
.027,1.018,.502,1.844,-.137,648.552,729.234,.051,17.530,Davisson
.027,.944,.492,1.783,-.141,634.828,710.906,.091,17.609,Davisson
.029,1.006,.501,1.814,-.141,613.159,709.920,.057,18.472,Davisson
.047,1.368,.546,1.932,-.148,568.366,675.110,.125,28.495,Davisson
.043,1.282,.537,1.901,-.147,599.438,677.878,.105,25.253,Davisson
.044,1.326,.541,1.922,-.147,618.174,681.344,.000,25.314,Davisson
.035,1.124,.517,1.851,-.144,594.646,693.342,.028,22.436,Davisson
.028,.976,.497,1.799,-.141,632.520,710.085,.059,18.089,Davisson
.035,1.065,.509,1.807,-.147,616.922,680.461,.062,21.726,Davisson
.041,1.251,.533,1.894,-.146,614.492,682.655,.079,25.177,Davisson
.038,1.227,.529,1.900,-.143,619.173,696.791,.125,22.322,Davisson
.040,1.231,.530,1.889,-.146,615.090,685.961,.105,24.039,Davisson
.034,1.159,.521,1.884,-.141,623.135,708.339,.075,20.994,Davisson
.028,.909,.486,1.740,-.144,636.857,692.560,.034,18.776,Davisson
.033,.989,.498,1.771,-.146,629.360,682.437,.033,20.701,Davisson
.041,1.254,.533,1.894,-.146,610.270,682.329,.105,24.484,Davisson
.035,1.175,.523,1.882,-.143,594.687,700.488,.077,22.449,Dent
.030,1.091,.512,1.868,-.139,614.171,720.415,.100,19.260,Dent
.027,.961,.494,1.795,-.140,674.130,713.330,.088,18.012,Dent
.038,1.261,.533,1.919,-.143,641.385,701.212,.167,22.697,Dent
.043,1.284,.537,1.901,-.147,635.738,677.537,.158,25.530,Dent
.059,1.484,.561,1.940,-.155,611.837,643.294,.162,31.897,Dent
.054,1.375,.549,1.904,-.154,636.455,647.389,.086,30.639,Dent
.051,1.452,.556,1.955,-.150,573.433,668.085,.171,29.506,Dent
.029,1.157,.520,1.917,-.136,553.361,736.518,.065,19.699,Dent
.028,1.053,.507,1.859,-.137,574.989,727.448,.100,18.435,Dent
.035,1.127,.517,1.851,-.144,612.582,692.756,.111,21.792,Dent
.037,1.147,.520,1.856,-.145,621.763,689.264,.028,21.868,Dent
.046,1.450,.554,1.980,-.145,502.620,691.374,.022,27.843,Dent
.032,1.051,.507,1.826,-.143,617.376,701.031,.057,20.113,Dent
.031,1.149,.519,1.894,-.139,601.632,719.744,.071,20.103,Dent
.041,1.276,.535,1.911,-.145,584.080,689.061,.150,24.392,Dent
.028,1.039,.505,1.849,-.138,604.441,725.134,.051,18.068,Dent
.033,1.054,.508,1.819,-.144,630.852,694.698,.059,20.527,Dent
.041,1.191,.526,1.860,-.148,630.640,676.157,.143,24.814,Dent
.044,1.354,.544,1.940,-.145,547.878,686.901,.071,25.977,Dent
.045,1.331,.542,1.918,-.148,584.606,675.577,.103,26.729,Dent
.046,1.317,.541,1.909,-.149,557.308,672.503,.053,26.842,Dent
.030,.984,.498,1.786,-.143,614.089,696.319,.062,19.585,Dent
.030,.984,.498,1.786,-.143,614.089,696.319,.062,19.585,Dent
.027,1.016,.502,1.837,-.138,636.608,724.351,.079,18.092,Dent
.041,1.175,.524,1.849,-.148,623.985,673.102,.000,24.562,Dent
.041,1.175,.524,1.849,-.148,623.985,673.102,.000,24.562,Dent
.033,1.079,.511,1.833,-.144,618.907,695.940,.000,20.923,Dent
.033,1.079,.511,1.833,-.144,618.907,695.940,.000,20.923,Dent
.040,1.315,.539,1.937,-.143,585.958,697.448,.140,24.286,Dent
.033,1.079,.511,1.833,-.144,618.907,695.940,.000,20.923,Dent
.060,1.639,.575,2.013,-.151,582.728,662.539,.133,31.305,Dent
.028,.950,.493,1.777,-.142,603.232,703.351,.094,18.326,Dent
.056,1.510,.562,1.967,-.151,576.598,660.259,.098,31.286,Dent
.037,1.213,.528,1.897,-.143,551.378,699.210,.125,23.177,Dent
.034,1.037,.505,1.800,-.146,623.709,685.857,.094,20.858,Dent
.030,1.129,.517,1.889,-.138,583.534,723.346,.119,19.651,Dent
.031,1.035,.505,1.822,-.142,600.751,704.141,.029,19.202,Dent
.065,1.575,.571,1.965,-.157,582.333,636.647,.053,35.472,Dent
.055,1.461,.558,1.946,-.152,598.797,656.948,.128,31.515,Dent
.039,1.192,.526,1.867,-.147,629.773,681.564,.028,24.883,Dent
.042,1.286,.537,1.908,-.146,612.827,682.329,.154,25.253,Dent
.029,.990,.499,1.803,-.141,637.456,707.242,.147,17.899,Dent
.024,.895,.485,1.777,-.137,630.736,727.379,.000,15.605,Dent
.044,1.363,.545,1.942,-.146,632.566,685.541,.167,25.793,Dent
.044,1.289,.538,1.902,-.148,650.285,676.734,.105,26.300,Dent
.031,.963,.494,1.764,-.145,676.371,687.833,.033,19.775,Dent
.038,1.158,.522,1.852,-.147,591.781,681.674,.029,22.557,Dent
.024,.924,.489,1.792,-.137,606.291,726.892,.057,16.087,Dent
.031,1.051,.507,1.833,-.141,601.114,706.732,.167,19.580,Dent
.032,1.147,.519,1.888,-.140,595.359,715.227,.195,20.300,Duff
.025,1.028,.504,1.865,-.135,606.831,742.058,.190,16.724,Duff
.023,.851,.478,1.749,-.138,622.743,725.418,.156,15.139,Duff
.027,.975,.496,1.806,-.140,618.713,716.085,.086,17.705,Duff
.026,1.026,.504,1.852,-.136,607.111,732.647,.125,16.945,Duff
.030,1.079,.511,1.859,-.139,601.846,717.472,.051,18.838,Duff
.031,1.194,.524,1.926,-.137,561.308,730.317,.065,20.496,Duff
.032,1.081,.511,1.847,-.141,602.504,706.647,.135,20.034,Duff
.023,.943,.492,1.818,-.135,666.452,739.326,.026,15.654,Duff
.028,1.064,.509,1.862,-.138,575.916,725.276,.075,18.682,Duff
.023,.914,.488,1.797,-.136,651.426,734.666,.111,15.595,Duff
.031,1.065,.509,1.843,-.141,605.162,709.589,.135,19.486,Duff
.025,.987,.498,1.836,-.136,662.809,735.372,.103,16.543,Duff
.024,.959,.494,1.822,-.136,654.069,735.947,.105,15.998,Duff
.031,1.022,.503,1.811,-.143,623.911,700.851,.059,19.563,Duff
.030,.938,.491,1.748,-.146,665.353,686.276,.034,19.230,Duff
.034,1.183,.524,1.896,-.141,613.031,709.174,.073,21.185,Duff
.035,1.138,.519,1.861,-.144,598.783,696.319,.054,21.912,Duff
.028,1.017,.502,1.831,-.139,646.673,718.766,.081,18.177,Duff
.026,1.003,.500,1.840,-.137,644.487,732.119,.077,17.030,Duff
.024,.988,.498,1.843,-.135,650.227,740.245,.050,16.065,Duff
.027,.981,.497,1.814,-.139,689.883,720.638,.056,17.214,Duff
.042,1.277,.536,1.906,-.146,614.264,683.841,.026,24.488,Duff
