@relation amazonReview
@attribute "." numeric
@attribute "," numeric
@attribute "'" numeric
@attribute "\"" numeric
@attribute ":" numeric
@attribute "!" numeric
@attribute ";" numeric
@attribute "?" numeric
@attribute class {Agresti, Ashbacher, Auken, Beauchamp, Blankenship, Brody, Brown, Bukowsky, CFH, Calvinnme, Chachra, Chandler, Chell, Cholette, Comdet, Corn, Cruiser, Cutey, Daneman, Davisson, Dent, Duff, Engineer, Goonan, Grove, Harp, Hayes, Janson, Johnson, Koenig}
@data
12,6,3,0,0,0,0,0,Harp
11,11,5,0,4,1,0,0,Harp
6,4,7,0,1,1,0,0,Harp
6,5,8,0,0,1,0,0,Harp
6,9,3,10,0,0,3,0,Hayes
11,14,3,12,4,0,0,1,Hayes
10,12,1,4,4,0,0,0,Hayes
6,4,4,0,0,1,0,0,Hayes
8,9,4,0,0,0,0,0,Hayes
7,12,3,0,0,1,0,0,Hayes
8,7,6,0,4,0,0,0,Hayes
13,16,7,0,0,2,0,0,Hayes
10,14,3,2,1,1,0,0,Hayes
4,6,7,0,0,3,0,0,Hayes
7,10,8,2,2,1,0,0,Hayes
7,9,3,12,1,0,0,0,Hayes
9,15,3,0,0,2,0,0,Hayes
7,13,6,2,0,0,0,0,Hayes
7,8,0,4,0,2,0,0,Hayes
10,11,4,2,0,1,0,1,Hayes
10,22,7,0,0,1,0,0,Hayes
10,9,2,0,0,0,0,0,Hayes
14,17,3,2,1,2,0,0,Hayes
10,5,2,0,0,0,0,0,Hayes
8,10,3,0,0,1,0,0,Hayes
6,9,2,0,0,0,0,0,Hayes
3,2,5,2,1,1,0,0,Hayes
13,13,4,4,0,0,0,0,Hayes
4,4,2,2,0,2,0,0,Hayes
5,7,3,2,0,3,0,0,Hayes
8,14,4,0,0,0,0,0,Hayes
12,11,5,2,0,0,0,0,Hayes
17,11,7,6,1,3,0,1,Hayes
9,27,2,2,0,2,0,0,Hayes
5,6,5,0,1,1,0,0,Hayes
10,20,1,2,0,0,0,0,Hayes
8,16,2,2,0,0,0,0,Hayes
8,15,2,0,2,0,0,0,Hayes
13,19,4,2,3,0,0,0,Hayes
7,18,2,2,2,0,0,0,Hayes
9,13,4,6,2,0,0,0,Hayes
9,15,7,0,0,0,0,0,Hayes
8,11,6,2,0,0,0,0,Hayes
6,11,3,2,0,2,0,0,Hayes
6,5,0,4,0,0,0,0,Hayes
11,16,2,2,0,2,0,0,Hayes
6,13,1,21,0,0,0,0,Hayes
9,34,7,29,0,1,0,0,Hayes
7,13,2,6,0,2,0,0,Hayes
7,11,1,2,0,1,0,0,Hayes
12,16,5,0,0,0,0,0,Hayes
9,24,8,16,0,4,0,0,Hayes
8,5,3,1,1,1,0,0,Hayes
12,11,5,2,0,0,0,0,Hayes
10,12,1,0,0,0,0,0,Janson
11,7,7,2,0,3,0,0,Janson
13,4,3,0,0,0,0,0,Janson
10,5,3,6,1,0,0,0,Janson
11,13,5,20,0,1,2,0,Janson
10,10,3,6,0,0,0,0,Janson
19,11,7,10,0,1,0,0,Janson
17,8,6,4,0,1,0,3,Janson
13,11,0,0,0,0,0,0,Janson
8,11,0,0,0,0,0,1,Janson
23,11,6,0,0,0,0,2,Janson
22,20,5,4,0,2,0,1,Janson
7,13,2,2,0,0,0,0,Janson
14,13,7,6,0,0,0,0,Janson
14,3,6,2,0,5,0,1,Janson
5,8,3,6,0,0,2,1,Janson
12,11,7,2,0,1,0,0,Janson
14,8,7,6,0,0,0,0,Janson
4,10,2,0,1,2,0,0,Janson
16,11,2,2,0,0,0,0,Janson
7,5,3,2,0,0,0,0,Janson
11,11,3,12,0,1,1,0,Janson
14,10,4,2,0,1,0,0,Janson
9,9,4,4,0,1,0,0,Janson
7,13,3,0,0,0,0,0,Janson
11,6,2,2,0,5,3,0,Janson
15,15,5,12,0,0,0,0,Janson
8,7,4,2,0,1,0,1,Janson
11,21,8,2,1,1,0,0,Janson
13,6,4,0,0,0,0,0,Janson
5,6,5,0,0,0,0,0,Janson
8,3,0,0,0,0,0,0,Janson
12,15,3,0,0,3,0,0,Janson
20,11,8,10,0,3,0,1,Janson
16,8,2,0,1,0,3,0,Janson
28,11,15,0,0,4,1,0,Janson
6,3,1,0,0,1,0,1,Janson
16,8,9,6,0,2,0,0,Janson
15,12,3,0,2,0,0,0,Janson
12,9,2,0,0,0,0,0,Janson
25,11,8,2,0,3,0,0,Janson
18,7,9,0,0,1,0,3,Janson
29,18,10,0,1,0,0,0,Janson
16,5,5,0,0,0,0,0,Janson
13,9,4,0,0,1,1,2,Janson
14,10,1,2,0,1,0,0,Janson
20,7,5,0,0,1,0,0,Janson
21,17,3,0,0,0,0,0,Janson
28,3,3,0,0,1,0,0,Janson
21,17,5,0,0,1,0,1,Janson
10,1,1,0,0,0,0,0,Johnson
17,2,3,6,0,1,0,3,Johnson
19,5,7,8,0,0,0,0,Johnson
8,3,3,4,0,1,0,0,Johnson
13,6,3,0,0,0,0,0,Johnson
7,5,3,2,0,0,0,1,Johnson
18,1,6,4,0,0,0,0,Johnson
15,4,6,2,0,0,0,3,Johnson
4,2,2,0,0,0,0,0,Johnson
20,2,5,8,0,0,0,0,Johnson
19,4,2,4,0,0,0,0,Johnson
16,2,5,0,0,1,0,3,Johnson
16,4,10,0,0,0,0,0,Johnson
12,4,3,4,1,1,0,0,Johnson
9,0,3,2,0,0,0,0,Johnson
22,8,5,2,1,0,0,0,Johnson
10,5,5,0,2,0,0,0,Johnson
14,12,1,5,1,0,0,0,Johnson
17,5,0,0,0,0,0,0,Johnson
9,4,0,2,1,1,0,0,Johnson
7,2,2,0,0,0,0,0,Johnson
10,3,4,0,3,2,0,0,Johnson
19,2,4,0,1,0,0,0,Johnson
19,3,11,4,0,0,0,0,Johnson
14,12,2,0,1,1,0,1,Johnson
13,0,5,2,0,0,0,2,Johnson
15,9,4,2,0,0,0,1,Johnson
13,4,2,2,3,0,0,0,Johnson
16,1,4,0,0,1,0,0,Johnson
17,5,5,4,6,0,0,0,Johnson
11,6,2,2,7,0,0,0,Johnson
17,6,2,2,0,0,0,0,Johnson
12,2,2,0,0,0,0,0,Johnson
5,0,1,0,0,0,0,0,Johnson
14,3,3,4,0,0,0,0,Johnson
9,0,2,2,1,0,0,4,Johnson
16,3,2,2,1,0,0,4,Johnson
14,2,2,8,0,0,0,0,Johnson
17,14,1,2,0,0,0,0,Johnson
17,8,4,8,9,0,0,0,Johnson
31,1,15,2,1,0,0,0,Johnson
17,0,6,10,1,0,0,0,Johnson
17,11,3,12,2,0,0,0,Johnson
26,3,6,8,0,0,0,2,Johnson
13,2,3,4,0,0,0,1,Johnson
17,2,2,6,0,0,0,0,Johnson
16,2,6,2,0,0,0,1,Johnson
8,4,3,2,6,0,0,0,Johnson
14,2,1,0,0,0,0,1,Johnson
11,4,4,2,1,0,0,0,Johnson
17,17,10,4,0,1,0,0,Koenig
17,9,0,4,3,1,0,0,Koenig
17,12,0,6,0,0,0,0,Koenig
27,18,1,10,2,1,0,0,Koenig
12,16,3,6,0,4,1,0,Koenig
13,12,0,4,0,0,0,0,Koenig
15,20,4,26,0,0,2,1,Koenig
17,11,0,2,0,2,0,0,Koenig
15,17,2,4,0,0,0,0,Koenig
10,6,3,0,0,4,0,1,Koenig
17,18,1,12,0,0,0,0,Koenig
13,21,2,8,1,0,0,1,Koenig
11,14,2,0,0,0,0,0,Koenig
11,11,0,0,0,0,0,0,Koenig
14,11,0,4,0,0,0,0,Koenig
14,11,0,4,0,0,0,0,Koenig
12,9,0,0,0,0,0,0,Koenig
11,15,0,2,0,2,1,0,Koenig
12,10,1,0,0,0,0,0,Koenig
14,13,0,2,0,1,0,0,Koenig
15,16,0,6,0,0,0,0,Koenig
23,14,0,0,0,0,0,2,Koenig
18,11,0,0,0,0,0,0,Koenig
21,8,1,2,0,0,0,0,Koenig
17,9,1,2,0,0,0,0,Koenig
13,9,5,2,0,1,0,0,Koenig
15,13,5,11,0,3,0,1,Koenig
13,10,5,0,2,1,1,0,Koenig
14,10,0,0,0,0,0,0,Koenig
9,13,0,2,0,1,0,0,Koenig
11,11,1,8,2,2,0,0,Koenig
11,13,0,6,1,2,0,0,Koenig
14,12,0,0,0,1,0,0,Koenig
12,12,0,0,0,0,0,0,Koenig
17,14,2,4,1,1,0,1,Koenig
12,6,0,2,0,1,0,0,Koenig
14,9,0,0,0,0,0,0,Koenig
12,12,1,2,0,1,0,0,Koenig
13,12,0,6,0,0,0,0,Koenig
18,15,1,3,0,0,0,0,Koenig
14,17,4,4,0,0,0,0,Koenig
17,12,0,4,0,0,0,0,Koenig
18,12,1,6,0,0,0,0,Koenig
14,21,4,2,1,0,0,0,Koenig
16,12,0,2,0,0,0,0,Koenig
17,12,0,4,0,0,0,0,Koenig
17,12,0,4,1,0,0,0,Koenig
18,12,1,6,0,0,0,0,Koenig
18,12,1,6,0,0,0,0,Koenig
14,16,1,2,1,0,0,0,Koenig
