@relation amazonReview
@attribute "e" numeric
@attribute "t" numeric
@attribute "a" numeric
@attribute "o" numeric
@attribute "i" numeric
@attribute "s" numeric
@attribute "n" numeric
@attribute "r" numeric
@attribute "h" numeric
@attribute "l" numeric
@attribute "d" numeric
@attribute "c" numeric
@attribute "u" numeric
@attribute "m" numeric
@attribute "f" numeric
@attribute "y" numeric
@attribute "g" numeric
@attribute "p" numeric
@attribute "w" numeric
@attribute "b" numeric
@attribute "v" numeric
@attribute "k" numeric
@attribute "x" numeric
@attribute "j" numeric
@attribute "z" numeric
@attribute "q" numeric
@attribute class {Agresti, Ashbacher, Auken, Blankenship, Brody, Brown, Bukowsky, CFH, Calvinnme, Chachra, Chandler, Chell, Cholette, Comdet, Corn, Cutey, Davisson, Dent, Engineer, Goonan}
@data
87,66,63,41,43,33,45,33,41,41,32,19,16,12,8,10,19,14,22,7,7,8,1,1,0,0,Chachra
96,75,58,79,39,37,44,46,33,27,37,34,28,43,15,19,17,22,29,16,5,5,2,2,1,0,Chachra
63,43,40,31,30,31,24,30,22,22,18,16,18,13,10,11,5,12,9,10,6,6,0,0,2,1,Chachra
115,86,55,68,68,63,43,46,40,41,36,24,19,21,16,19,14,11,33,15,5,17,0,1,0,2,Chachra
27,19,20,22,14,16,18,17,9,13,11,5,6,4,6,5,8,2,3,6,2,3,1,0,2,0,Chachra
30,30,28,21,14,15,19,18,18,7,8,11,9,4,5,6,10,7,4,4,3,3,0,0,0,1,Chachra
78,57,59,36,44,29,37,36,17,18,25,8,15,20,16,12,14,11,14,7,10,1,1,0,1,0,Chachra
76,61,49,48,37,30,27,37,23,21,28,13,18,11,14,15,6,10,15,11,5,7,1,0,1,2,Chachra
34,33,24,25,24,20,20,12,20,11,6,11,5,7,7,6,7,7,6,5,3,4,0,0,1,0,Chachra
70,55,52,54,47,39,34,45,33,25,21,16,20,22,16,16,15,17,14,5,10,8,2,0,2,2,Chachra
43,24,24,26,22,26,18,18,20,6,15,9,9,14,7,9,4,8,8,6,9,6,0,0,1,1,Chachra
87,62,56,55,43,34,47,35,37,33,28,21,18,20,18,17,19,13,12,4,6,4,5,1,1,0,Chachra
89,86,61,63,70,34,50,38,43,36,31,24,28,16,11,16,27,22,20,15,11,12,6,1,1,0,Chachra
86,67,59,50,50,53,54,36,34,21,28,15,25,20,11,17,22,13,13,14,6,4,0,1,0,1,Chachra
61,51,52,39,46,21,31,37,22,26,19,11,11,16,11,16,21,5,11,5,8,2,1,0,4,2,Chachra
61,56,39,36,45,30,31,25,18,18,15,14,12,13,12,12,11,9,9,8,10,4,1,1,1,0,Chachra
66,52,55,34,41,33,36,35,31,24,19,14,25,14,10,21,11,10,12,14,9,5,1,1,1,2,Chachra
130,92,66,73,60,37,59,58,42,27,39,21,27,27,24,10,15,19,19,21,16,10,2,1,1,0,Chachra
68,44,42,44,37,30,36,32,16,24,27,12,17,12,14,10,11,10,13,10,11,2,1,0,2,0,Chachra
86,73,54,39,47,47,38,44,34,27,32,20,24,12,18,14,7,7,18,16,6,7,0,0,0,0,Chachra
52,32,32,17,33,27,20,23,20,17,23,15,13,7,7,16,14,13,8,3,8,4,0,0,0,1,Chachra
31,27,43,23,14,20,20,21,18,18,13,5,9,15,11,10,5,2,4,6,6,4,1,0,1,0,Chachra
65,52,44,30,37,24,23,34,29,14,18,13,24,7,10,15,17,9,8,10,4,6,1,1,0,3,Chachra
107,68,75,66,71,52,63,47,57,42,30,34,19,26,21,18,11,10,24,16,12,10,0,0,1,1,Chachra
93,69,77,55,37,40,41,42,42,23,27,21,29,8,16,29,14,11,9,25,12,6,7,2,1,5,Chachra
93,69,77,55,37,40,41,42,42,23,27,21,29,8,16,29,14,11,9,25,12,6,7,2,1,5,Chachra
58,62,49,37,35,31,29,23,29,23,22,9,19,13,9,9,16,2,15,11,3,7,0,1,0,0,Chachra
84,77,65,67,58,54,34,45,27,24,32,15,22,19,12,15,17,22,15,19,9,3,0,0,1,0,Chachra
28,23,35,25,31,11,27,14,16,15,21,20,7,7,7,4,9,7,6,9,1,2,2,0,1,1,Chachra
68,56,52,37,52,32,36,37,34,31,25,16,15,10,14,11,10,6,10,13,7,9,0,0,0,0,Chachra
52,33,46,38,28,28,31,45,20,22,18,20,18,17,7,5,16,6,4,11,4,5,1,0,3,0,Chachra
70,54,57,35,37,36,32,32,37,21,15,22,16,9,11,9,10,10,15,11,5,4,1,0,1,0,Chachra
86,83,60,69,68,55,45,33,47,25,27,25,25,22,21,17,11,28,14,15,9,10,0,0,0,0,Chachra
191,164,139,134,111,108,78,84,76,83,63,63,69,39,46,44,31,63,24,23,12,20,0,4,3,2,Chandler
236,138,120,110,147,105,99,80,89,66,85,46,35,44,35,36,27,44,26,26,25,15,4,2,4,2,Chandler
145,113,93,68,82,60,73,46,56,36,46,37,19,20,32,13,31,18,20,20,13,11,5,2,0,0,Chandler
186,132,124,171,131,117,80,93,59,96,54,89,46,26,40,35,21,44,15,25,13,33,2,3,0,0,Chandler
147,130,105,146,90,78,77,114,53,74,61,28,59,23,19,39,24,25,35,31,21,16,2,6,0,0,Chandler
117,92,65,83,60,40,63,54,51,32,25,21,24,16,27,14,32,30,19,9,4,10,3,0,0,0,Chandler
152,168,112,112,105,111,101,75,68,38,53,22,49,31,30,32,39,23,21,19,10,21,2,2,2,0,Chandler
163,110,122,99,81,89,89,70,61,54,54,37,25,30,23,29,25,32,23,12,15,11,1,2,0,3,Chandler
161,160,114,140,145,111,98,86,66,81,59,37,56,37,33,34,50,53,21,18,21,12,2,4,6,1,Chandler
204,149,140,127,144,87,98,103,75,77,47,50,58,34,35,46,61,38,29,30,17,16,2,5,18,1,Chandler
161,116,122,108,100,103,83,80,78,30,51,26,40,37,35,25,36,19,35,40,9,19,0,3,1,3,Chandler
133,105,97,93,73,79,76,67,70,34,37,35,31,28,33,20,23,16,27,22,12,11,7,4,0,1,Chandler
162,106,108,106,91,82,108,68,65,43,52,38,34,36,23,24,21,22,28,22,9,21,7,1,1,0,Chandler
133,105,90,80,92,70,71,58,62,47,49,27,45,31,17,29,22,25,22,11,16,24,2,3,1,4,Chandler
155,127,101,89,108,82,94,74,60,52,54,29,44,23,33,30,28,36,28,30,16,12,2,6,0,0,Chandler
109,101,67,100,58,74,67,63,47,23,28,21,34,16,30,23,28,21,18,15,11,4,0,1,2,0,Chandler
109,87,72,94,66,53,59,60,42,29,41,23,34,21,27,28,20,23,20,11,7,6,0,5,2,3,Chandler
140,142,130,136,115,88,99,87,67,55,50,21,49,18,29,50,33,31,37,21,11,17,0,2,1,0,Chandler
221,154,120,154,113,98,106,101,67,48,64,46,40,30,39,28,24,39,33,26,15,26,2,0,0,2,Chandler
135,94,96,95,76,89,83,54,58,50,31,26,30,35,35,18,19,16,24,13,17,21,2,1,1,1,Chandler
196,157,131,118,124,114,103,96,80,64,63,59,47,38,37,27,29,32,36,27,21,11,2,4,0,1,Chandler
200,138,128,110,111,95,98,82,95,48,65,41,40,51,46,33,32,31,39,23,16,18,2,2,2,0,Chandler
148,146,113,136,104,76,86,63,74,43,39,54,46,24,26,26,28,13,21,21,14,12,1,2,1,2,Chandler
166,140,135,112,115,99,85,68,111,61,56,40,48,52,26,43,30,25,27,18,13,15,4,6,2,1,Chandler
124,98,113,111,97,87,73,68,68,46,49,29,38,39,14,30,29,27,20,24,15,14,2,2,1,1,Chandler
105,113,94,89,98,53,75,66,60,48,31,35,42,22,24,23,25,14,18,25,12,10,0,0,1,0,Chandler
187,194,137,168,107,113,100,88,81,66,55,48,58,34,63,37,26,29,30,22,21,21,0,4,2,0,Chandler
137,115,111,107,102,97,76,74,62,46,55,29,51,50,32,53,32,16,37,20,11,19,0,2,0,0,Chandler
174,137,148,146,113,117,87,97,85,53,52,44,39,41,27,30,32,41,26,25,12,20,1,2,7,0,Chandler
143,133,103,92,112,89,89,67,56,49,52,51,37,41,25,35,16,41,21,16,17,13,1,2,1,2,Chandler
124,95,88,90,77,57,58,60,39,44,31,30,26,21,25,17,18,21,18,17,13,17,2,2,3,1,Chandler
150,112,96,67,81,89,71,60,57,42,36,35,34,16,26,18,24,12,25,18,14,4,0,1,0,0,Chandler
112,110,82,87,70,75,67,51,64,35,37,26,21,18,18,10,22,19,16,22,11,21,3,5,0,0,Chandler
149,85,87,69,99,71,83,65,68,44,43,38,32,35,18,30,27,13,36,12,9,7,0,8,3,0,Chandler
147,131,106,129,115,97,104,87,59,72,62,43,49,33,34,38,26,23,27,27,18,10,6,6,0,1,Chandler
154,167,94,146,115,85,104,95,72,54,56,36,55,36,31,27,36,18,37,20,19,19,2,3,3,1,Chandler
105,104,89,78,92,56,78,59,44,44,35,23,31,19,19,25,32,22,19,15,12,8,2,1,2,1,Chandler
100,81,72,58,50,70,47,65,45,15,31,24,28,10,11,9,23,12,22,9,6,6,1,11,0,1,Chandler
147,97,92,71,89,63,65,64,49,51,47,41,24,25,23,18,28,41,23,17,8,7,2,1,0,0,Chandler
163,161,103,148,112,71,111,70,85,32,53,42,51,23,35,41,38,34,39,21,14,21,2,2,3,2,Chandler
180,149,118,125,83,83,92,67,82,55,32,24,49,31,24,44,40,26,35,24,13,15,1,1,4,2,Chandler
97,106,80,73,93,56,70,37,58,39,48,22,18,29,17,27,37,17,30,14,8,9,1,1,1,0,Chandler
98,78,82,61,58,61,62,40,41,34,39,24,31,15,23,19,21,15,7,19,7,8,3,0,0,0,Chandler
179,202,127,107,110,104,91,74,89,63,62,38,43,23,14,35,29,33,34,23,12,16,7,1,3,0,Chandler
104,94,73,66,80,72,54,56,55,37,32,19,36,17,18,26,11,17,11,27,9,5,2,3,0,1,Chandler
95,101,94,87,99,63,94,61,43,62,37,29,27,26,16,26,30,26,19,19,10,14,0,1,1,1,Chandler
183,140,109,113,113,91,111,79,78,61,62,32,39,43,38,37,39,34,37,26,15,14,6,3,1,0,Chandler
86,71,61,66,54,46,55,37,47,33,29,12,39,9,10,34,22,11,20,17,7,4,0,2,1,1,Chandler
162,130,82,123,74,63,103,62,72,30,48,25,41,29,16,45,27,16,35,22,12,12,0,1,1,0,Chandler
149,129,101,124,72,70,93,66,75,51,44,31,43,30,19,39,28,24,35,20,10,12,2,3,2,2,Chandler
179,131,107,123,89,94,92,90,64,58,59,55,47,24,25,35,30,42,18,27,24,12,4,1,1,0,Chell
154,100,80,71,86,86,76,64,50,46,39,50,38,30,26,19,24,26,13,16,20,2,0,2,3,0,Chell
131,97,87,87,86,89,62,68,64,65,40,40,29,27,29,21,30,16,21,18,8,13,0,0,2,1,Chell
193,140,103,95,93,88,97,64,84,53,37,48,40,35,28,21,21,40,16,17,7,9,5,1,5,3,Chell
108,77,82,64,57,63,57,53,48,44,29,26,28,21,15,19,9,25,14,20,12,5,3,0,4,1,Chell
33,21,20,33,31,16,23,20,18,16,9,18,12,10,13,7,3,8,5,8,5,4,0,0,0,0,Chell
119,104,82,82,93,85,91,58,56,55,42,35,43,21,15,30,28,26,15,18,11,6,1,0,4,2,Chell
142,137,93,95,101,82,94,61,59,54,52,45,44,31,28,25,19,36,20,20,12,13,1,3,2,3,Chell
171,162,92,103,78,67,87,66,63,65,33,38,44,35,18,18,19,24,22,23,11,11,4,1,1,1,Chell
189,143,104,109,104,93,81,98,71,50,47,57,41,43,28,31,18,36,17,32,22,10,5,1,2,1,Chell
171,154,100,106,117,96,76,87,63,69,38,53,42,33,35,16,33,38,18,29,12,11,4,1,2,2,Chell
125,105,83,110,75,67,68,75,43,42,52,34,39,30,15,21,14,29,15,18,14,7,1,3,4,4,Chell
174,134,119,120,121,126,107,96,68,76,60,46,41,42,32,32,27,36,11,24,10,7,8,1,3,4,Chell
96,53,75,67,76,72,64,53,42,44,41,27,27,26,17,23,23,32,25,11,15,9,0,0,1,1,Chell
109,91,77,62,74,59,54,43,50,47,26,44,26,24,22,14,16,15,16,13,9,7,2,0,2,3,Chell
183,157,111,104,107,85,90,91,74,56,34,43,31,45,35,14,45,37,25,22,14,6,0,1,0,0,Chell
90,85,67,78,65,66,64,37,39,40,23,29,32,20,22,24,20,21,15,13,6,5,2,1,1,3,Chell
69,57,32,38,40,39,39,35,17,19,10,16,17,14,11,5,9,12,8,7,9,3,1,1,0,1,Chell
29,21,22,18,17,19,18,10,18,13,13,10,7,8,3,11,7,10,8,4,1,3,0,1,0,1,Chell
177,132,140,121,109,90,102,92,85,68,54,47,56,33,42,29,34,32,28,29,16,13,3,2,3,0,Chell
126,89,88,74,57,75,74,79,49,45,46,26,29,21,16,17,22,11,19,19,12,4,0,5,3,2,Chell
112,113,93,86,80,71,74,58,50,46,31,25,28,22,23,23,26,15,19,19,12,9,4,1,2,0,Chell
160,132,121,115,97,78,79,86,64,55,42,49,39,37,33,27,21,21,15,22,16,6,0,9,12,1,Chell
131,138,101,110,93,69,103,68,54,41,25,38,37,19,34,18,31,31,17,18,19,8,10,1,2,0,Chell
182,132,123,124,104,97,101,84,54,49,48,53,50,52,48,39,35,34,18,21,18,16,3,1,4,4,Chell
152,97,84,90,77,83,74,70,55,50,44,29,42,29,20,25,14,24,18,15,19,8,4,1,3,2,Chell
108,123,97,74,76,70,74,48,56,50,23,31,29,12,27,11,24,21,23,16,8,9,0,2,0,2,Chell
95,54,58,69,46,40,43,58,25,29,26,28,20,25,19,9,9,19,12,19,9,7,1,0,1,1,Chell
167,149,110,102,112,82,89,92,61,61,47,39,27,29,30,32,19,27,17,23,19,11,7,0,1,2,Chell
148,123,111,97,123,77,91,76,64,42,49,42,33,38,28,24,31,50,27,16,16,12,3,1,2,2,Chell
93,76,55,55,52,54,30,48,35,28,18,31,23,19,16,20,18,7,11,10,10,5,1,0,0,0,Chell
153,147,118,124,113,90,76,85,59,62,46,46,35,39,29,23,27,44,29,21,13,14,2,8,8,2,Chell
150,101,111,80,86,95,77,72,52,44,34,37,43,42,29,17,28,31,12,19,20,12,2,1,0,3,Chell
154,108,79,85,76,69,72,58,57,48,54,36,41,18,19,29,17,19,20,27,17,11,4,1,3,2,Chell
193,149,116,126,93,97,87,104,92,65,43,55,43,35,33,27,22,28,26,31,17,18,1,1,2,1,Chell
100,78,87,56,60,74,50,62,37,34,42,39,27,26,14,18,16,24,10,13,14,8,3,1,1,1,Chell
87,55,52,40,46,30,44,30,32,35,20,15,13,20,13,14,18,13,6,14,8,6,3,1,2,0,Chell
107,77,81,74,61,69,71,69,27,41,32,34,40,23,23,19,19,14,11,25,14,9,2,3,2,1,Chell
86,67,37,66,49,38,48,35,32,43,18,21,28,25,13,10,10,13,8,12,4,8,1,1,0,1,Chell
146,120,76,96,91,67,76,61,43,60,27,34,32,21,32,21,22,21,25,21,21,12,0,2,1,2,Chell
187,130,102,107,106,95,99,93,80,77,52,37,54,42,29,26,25,36,18,40,15,16,5,1,1,0,Chell
162,117,97,118,104,98,92,78,58,74,61,42,34,43,28,26,26,38,18,27,10,11,3,8,2,2,Chell
213,139,118,108,117,96,102,104,64,50,53,60,46,55,39,35,33,49,23,15,23,10,4,2,2,0,Chell
161,119,102,89,112,79,85,101,45,49,50,40,34,31,32,27,35,26,22,15,24,4,3,0,2,0,Chell
105,79,48,61,58,44,62,49,35,33,27,26,28,20,10,17,18,28,11,15,16,6,0,1,0,3,Chell
104,99,70,80,57,58,47,54,49,35,28,28,25,22,23,14,10,18,14,11,8,5,1,1,2,0,Chell
106,107,87,96,83,67,69,51,47,48,37,36,32,24,22,20,20,30,8,15,13,6,4,1,3,2,Chell
144,119,116,93,99,78,86,86,65,63,34,38,36,35,21,28,31,35,13,17,12,11,1,8,12,2,Chell
146,96,67,93,73,72,54,64,51,67,41,35,26,26,36,27,14,11,9,26,14,6,1,0,1,1,Chell
147,115,89,107,58,98,63,76,77,53,33,44,37,30,29,33,15,19,19,24,4,17,1,1,1,2,Chell
114,101,93,51,62,71,57,62,56,48,45,31,40,26,25,22,17,12,26,14,4,18,6,4,4,0,Cholette
140,112,74,56,108,90,76,56,73,47,34,21,20,30,19,17,29,16,26,15,17,12,1,2,0,1,Cholette
129,97,81,66,80,76,67,65,63,37,32,30,22,32,24,14,24,11,29,11,16,5,1,0,1,1,Cholette
104,71,52,53,76,55,51,42,44,44,23,15,15,30,18,19,10,25,18,10,10,8,0,0,0,0,Cholette
192,128,110,98,86,102,83,79,90,72,48,38,40,37,25,35,50,22,33,20,8,10,2,2,4,1,Cholette
125,86,106,65,71,77,70,65,55,58,48,51,33,28,14,28,18,20,23,22,14,6,2,1,2,0,Cholette
192,149,110,112,129,95,101,90,85,79,39,34,39,30,41,29,30,28,34,25,25,10,1,2,0,2,Cholette
140,94,73,76,55,77,48,48,58,54,32,29,45,35,22,24,25,19,11,24,11,6,0,3,0,0,Cholette
134,110,96,90,94,69,78,64,71,55,40,38,36,31,29,30,28,28,23,16,17,11,2,3,2,1,Cholette
166,120,124,107,109,105,88,77,72,86,51,30,35,23,20,43,33,24,24,40,25,14,0,2,1,2,Cholette
163,126,93,105,93,86,70,88,66,49,48,26,29,32,32,24,27,30,28,16,17,6,4,1,1,1,Cholette
145,90,82,96,104,85,99,66,51,57,38,47,34,25,36,16,31,29,16,15,16,16,5,0,0,0,Cholette
118,110,83,80,85,61,76,59,47,47,33,36,22,18,30,17,24,23,7,12,13,14,4,0,3,2,Cholette
129,88,80,48,74,72,62,71,49,37,27,26,10,14,20,24,17,22,15,12,10,4,4,1,0,2,Cholette
187,175,130,162,126,120,119,92,109,90,49,52,51,60,57,25,36,15,33,39,18,17,3,4,1,2,Cholette
229,173,127,141,149,122,128,119,74,86,48,45,50,55,37,39,34,43,24,30,17,24,13,1,0,2,Cholette
163,116,110,105,103,94,106,86,56,58,52,49,32,28,31,28,41,25,17,29,20,24,5,1,1,1,Cholette
136,90,69,69,72,82,65,73,43,38,40,39,34,24,27,18,21,30,20,13,14,5,5,2,5,2,Cholette
115,107,67,76,80,78,54,49,46,50,41,25,26,27,26,24,13,20,6,16,15,6,1,1,3,0,Cholette
164,131,116,111,108,84,87,76,61,91,48,35,42,33,33,27,38,24,39,16,9,14,7,3,1,0,Cholette
141,104,98,90,83,85,73,71,67,65,41,30,41,29,21,18,18,10,25,20,7,18,3,10,1,2,Cholette
171,130,137,99,95,111,82,91,89,76,55,41,40,37,34,40,32,39,34,26,22,6,6,1,0,0,Cholette
111,94,80,88,61,75,56,62,57,51,34,27,21,38,22,36,13,16,27,17,5,16,1,2,0,0,Cholette
148,100,88,87,70,104,73,85,62,64,41,22,41,33,35,26,24,18,17,13,10,7,2,3,0,0,Cholette
160,103,124,127,103,109,109,87,51,52,63,58,38,43,39,24,28,35,13,18,26,3,4,1,0,2,Cholette
168,96,105,96,89,85,80,73,65,47,46,20,21,41,32,29,20,18,23,36,15,13,0,4,1,1,Cholette
193,135,104,102,133,97,88,61,77,69,38,17,52,40,38,29,26,21,20,28,21,13,1,5,2,4,Cholette
205,131,121,121,131,135,114,114,59,68,42,68,35,37,29,36,43,39,21,37,15,14,7,0,1,0,Cholette
152,124,113,110,70,83,73,103,79,50,43,36,42,25,37,18,29,21,18,24,24,12,1,6,0,2,Cholette
178,126,105,104,110,108,91,90,77,61,48,40,36,43,38,25,30,21,16,22,11,12,2,8,8,2,Cholette
113,89,70,77,80,73,69,51,49,58,30,25,27,31,27,20,19,26,17,9,9,8,4,4,1,4,Cholette
202,171,120,124,134,120,99,98,104,64,51,45,43,39,41,40,26,27,29,22,20,16,1,8,0,2,Cholette
129,125,83,66,101,71,86,66,83,35,27,28,55,35,23,23,42,11,26,17,16,10,1,2,1,0,Cholette
141,88,106,69,75,66,60,76,78,51,33,29,22,24,25,15,33,13,29,20,10,9,1,0,0,1,Cholette
167,127,108,121,115,104,94,88,73,69,55,35,27,38,25,22,28,24,25,30,15,12,2,1,0,2,Cholette
197,138,102,119,110,81,109,92,66,67,56,43,32,30,44,22,31,27,27,26,17,17,3,4,4,0,Cholette
117,90,79,83,75,77,73,64,57,49,43,27,26,20,21,25,22,20,20,14,8,9,0,2,0,0,Cholette
163,103,94,99,83,83,82,73,60,76,46,34,30,34,22,16,24,17,19,22,16,12,7,1,1,0,Cholette
192,130,116,119,123,110,109,91,99,66,63,25,53,51,41,23,40,15,30,28,16,13,1,12,19,0,Cholette
88,82,67,54,59,62,48,47,59,37,25,25,29,22,18,21,8,15,14,21,9,6,1,1,2,1,Cholette
171,130,137,99,95,111,82,91,89,76,55,41,40,37,34,40,32,39,34,26,22,6,6,1,0,0,Cholette
119,94,79,78,79,89,47,67,60,46,36,25,24,28,23,24,12,11,22,12,13,5,0,2,0,0,Cholette
212,173,122,183,165,138,135,114,86,67,52,49,41,45,46,31,39,47,27,37,17,28,5,1,3,2,Cholette
118,96,75,75,68,56,75,80,53,59,36,16,27,20,31,25,20,14,26,16,11,9,2,2,1,0,Cholette
189,119,80,100,96,93,85,84,59,62,64,39,45,24,27,18,24,28,18,21,19,7,3,0,3,6,Cholette
147,117,88,81,92,77,63,63,79,49,35,20,21,32,23,25,19,22,26,13,12,7,2,1,3,0,Cholette
185,158,121,118,136,111,136,74,63,44,70,42,37,41,35,19,42,26,18,24,7,5,3,0,2,1,Cholette
136,111,87,92,89,76,62,81,61,39,32,34,25,27,25,20,32,13,17,29,13,23,0,9,2,2,Cholette
156,110,94,91,89,77,63,86,56,52,53,34,38,36,36,26,18,29,19,20,20,9,2,0,0,0,Cholette
198,145,131,117,126,96,98,103,90,71,48,25,43,35,40,39,50,23,34,36,13,14,3,7,1,0,Cholette
152,131,104,88,88,86,76,75,77,53,40,38,44,47,29,26,28,41,17,19,15,10,1,2,3,1,Comdet
104,103,82,83,67,89,56,53,44,27,44,31,38,11,17,26,21,29,17,18,7,9,1,1,1,0,Comdet
98,108,69,76,95,48,60,52,38,35,25,30,19,16,24,18,10,12,18,13,11,8,0,0,1,1,Comdet
146,123,100,91,115,89,82,77,56,60,45,44,46,36,22,25,26,38,26,29,17,10,1,3,2,5,Comdet
156,125,102,101,81,90,72,69,75,45,47,50,35,21,23,29,17,27,24,15,14,10,5,2,2,2,Comdet
154,115,80,91,83,72,72,72,66,64,58,27,49,30,25,27,18,33,22,22,9,10,3,0,4,3,Comdet
106,90,68,75,56,48,59,40,49,48,36,26,29,29,20,22,18,16,23,11,9,3,3,1,2,0,Comdet
100,82,89,65,71,50,68,47,40,38,45,17,22,27,13,16,18,21,22,11,13,9,0,0,1,0,Comdet
113,117,86,118,86,78,62,50,59,37,30,43,25,18,21,14,21,44,11,23,9,11,6,1,0,2,Comdet
121,92,62,76,55,56,43,57,41,31,29,26,33,21,27,27,14,18,14,17,15,14,2,1,2,0,Comdet
139,156,117,106,85,96,77,68,76,59,40,31,41,29,23,34,27,21,28,16,8,11,2,3,3,1,Comdet
131,103,83,91,80,71,64,53,52,52,38,38,29,21,21,19,22,29,22,22,14,11,8,3,3,1,Comdet
122,92,82,75,63,69,57,60,65,42,32,31,23,27,18,25,15,21,18,16,9,9,1,0,0,2,Comdet
128,123,76,132,104,104,68,55,60,52,45,48,35,33,27,22,22,35,25,32,12,19,5,1,0,0,Comdet
168,132,78,96,85,91,81,65,48,43,40,43,38,33,31,25,19,28,19,23,14,4,2,3,0,0,Comdet
146,129,90,94,83,84,72,51,61,70,29,35,44,22,23,21,13,21,20,14,14,21,1,2,5,1,Comdet
178,146,88,79,97,114,81,76,100,64,42,39,47,19,31,21,18,26,31,13,8,18,2,3,0,0,Comdet
155,125,105,94,93,98,82,50,71,65,49,37,41,32,28,25,19,36,23,30,10,22,6,0,2,2,Comdet
148,134,76,96,94,90,70,56,56,47,51,41,39,17,26,20,14,41,24,21,7,14,1,0,1,4,Comdet
149,127,102,95,103,71,88,91,57,49,39,35,45,27,38,36,23,21,21,17,21,4,2,1,1,1,Comdet
155,143,114,113,82,72,73,92,61,57,45,30,47,26,38,32,27,32,14,17,12,8,2,1,1,1,Comdet
119,102,73,69,64,55,55,48,54,54,36,30,29,25,21,16,13,29,19,17,10,12,3,0,1,2,Comdet
117,120,71,84,77,66,64,63,57,44,46,37,32,19,21,18,32,20,20,8,6,8,1,1,0,2,Comdet
172,113,93,66,75,105,87,79,55,78,41,52,54,21,41,21,32,17,23,17,13,12,0,2,3,0,Comdet
176,120,133,113,72,105,79,101,82,76,64,34,35,36,31,28,21,31,27,29,11,12,5,4,2,2,Comdet
148,110,118,112,70,80,68,83,54,69,42,44,45,29,28,27,25,38,21,17,17,10,2,0,3,3,Comdet
150,101,96,74,84,70,62,69,69,60,63,21,21,28,24,15,21,25,24,18,8,10,3,2,2,1,Comdet
172,163,95,118,98,89,85,68,62,72,52,59,44,18,24,25,25,39,25,37,10,22,2,1,0,0,Comdet
124,103,86,91,68,92,68,62,55,53,35,16,44,9,24,22,23,16,20,19,10,6,0,2,0,1,Comdet
132,142,93,102,84,78,67,63,61,64,45,41,36,21,19,25,28,26,21,20,17,18,2,1,1,1,Comdet
160,143,100,111,105,86,79,79,52,49,43,31,48,31,35,24,25,37,23,19,20,10,1,1,0,2,Comdet
167,141,111,114,87,90,88,67,61,63,50,44,46,29,30,22,23,48,28,24,14,12,11,2,0,2,Comdet
109,86,83,100,74,74,71,59,34,34,27,37,28,28,19,10,23,33,10,15,7,8,1,0,0,2,Comdet
183,148,131,104,87,95,89,73,83,62,49,43,34,27,24,30,25,19,24,22,30,8,3,0,3,0,Comdet
118,112,95,83,68,71,58,64,67,45,32,38,36,24,19,23,21,25,17,28,17,8,2,3,0,0,Comdet
164,132,62,102,88,84,55,71,47,39,31,49,49,29,19,23,18,31,18,23,16,13,2,2,2,0,Comdet
157,130,101,81,96,81,67,92,62,44,40,33,45,23,28,37,21,28,19,18,13,10,4,2,0,2,Comdet
155,111,77,100,64,73,69,64,48,50,42,31,47,20,22,25,18,22,20,11,25,10,2,4,0,1,Comdet
91,102,75,82,76,59,56,62,42,33,35,26,41,24,15,21,31,12,23,9,9,8,6,2,1,1,Comdet
118,98,75,81,66,62,65,49,56,41,38,39,36,15,22,29,16,19,25,17,12,14,1,0,2,3,Comdet
137,94,90,73,91,72,77,86,61,50,25,33,20,46,32,20,27,26,15,12,15,7,1,1,1,0,Comdet
154,134,114,108,102,86,79,76,50,49,48,45,40,29,31,41,14,38,28,17,19,18,1,2,0,2,Comdet
94,91,79,82,75,82,59,44,48,53,43,29,30,22,13,26,13,32,16,23,9,11,2,1,0,3,Comdet
144,130,97,92,114,73,88,89,51,53,38,36,50,28,42,32,22,23,23,19,20,2,2,2,1,1,Comdet
171,141,104,104,104,84,91,88,80,67,53,32,39,40,29,22,42,21,32,24,17,7,0,2,0,1,Comdet
112,110,82,76,65,76,49,52,57,42,36,32,24,26,19,22,13,19,18,7,16,8,0,1,1,0,Comdet
97,98,76,84,68,68,49,60,47,46,25,32,36,41,22,29,22,21,15,15,2,5,1,2,1,0,Comdet
141,119,105,85,86,86,84,59,49,52,41,30,35,23,24,32,32,34,20,28,3,14,5,1,2,2,Comdet
160,113,108,104,86,91,74,76,74,63,56,40,48,32,24,37,26,41,33,30,11,27,2,2,0,2,Comdet
165,155,106,91,104,74,72,96,77,71,49,42,40,47,19,31,28,25,18,28,22,3,1,3,1,6,Comdet
41,40,31,35,39,27,29,23,35,23,17,16,12,12,10,8,7,1,8,7,4,1,0,1,0,0,Corn
99,72,55,61,52,38,47,50,34,40,24,16,23,11,16,15,29,14,23,10,7,10,0,1,0,0,Corn
152,100,97,101,89,89,77,78,70,53,36,29,31,22,34,18,12,24,21,16,13,6,3,0,7,3,Corn
136,79,58,93,89,77,66,64,39,37,47,34,23,18,32,10,11,17,16,25,11,11,0,0,0,0,Corn
121,101,61,82,79,48,74,55,49,29,30,36,18,24,20,12,24,17,14,19,10,7,4,1,0,1,Corn
161,116,110,114,80,81,82,76,80,56,68,18,26,41,32,20,33,22,25,27,19,15,1,1,0,0,Corn
